actual,proposed
0.0,0.1990690976381302
0.0,0.19658112525939941
0.0,0.19389218091964722
0.0,0.19103197753429413
0.0,0.18871423602104187
0.0,0.18597961962223053
0.0,0.18358460068702698
0.0,0.1812835931777954
0.0,0.17881664633750916
0.0,0.17652903497219086
0.0,0.1740407794713974
0.0,0.1720310002565384
0.0,0.1700635850429535
0.0,0.1679268330335617
0.0,0.16579143702983856
0.0,0.16377566754817963
0.0,0.1618189811706543
0.0,0.15984278917312622
0.0,0.15877673029899597
0.0,0.15644630789756775
0.0,0.1510424017906189
0.0,0.15316890180110931
0.0,0.149441197514534
0.0,0.1490722894668579
0.0,0.14781999588012695
0.0,0.14577902853488922
0.0,0.1438841074705124
0.0,0.1429935097694397
0.0,0.1406712532043457
0.0,0.13887503743171692
0.0,0.13766160607337952
0.0,0.13621662557125092
0.0,0.13478021323680878
0.0,0.1313917487859726
0.0,0.1302976757287979
0.0,0.12923040986061096
0.0,0.12770980596542358
0.0,0.1266004592180252
0.0,0.12539827823638916
0.0,0.12414684891700745
